relative_path,group,symbol_dir,rows,date_min,date_max,date_unique,datetime_min,datetime_max,has_1970_date_only,high_lt_low_rows
etfs/DIA/day.parquet,etfs,DIA,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/EEM/day.parquet,etfs,EEM,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/EFA/day.parquet,etfs,EFA,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/FXE/day.parquet,etfs,FXE,5024,1970-01-01,1970-01-01,1,1970-01-01 00:18:54.363600,1970-01-01 00:29:24.565200,True,0
etfs/GLD/day.parquet,etfs,GLD,5292,1970-01-01,1970-01-01,1,1970-01-01 00:18:20.754000,1970-01-01 00:29:24.565200,True,0
etfs/HYG/day.parquet,etfs,HYG,4747,1970-01-01,1970-01-01,1,1970-01-01 00:17:55.870800,1970-01-01 00:29:24.565200,True,0
etfs/IWM/day.parquet,etfs,IWM,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/LQD/day.parquet,etfs,LQD,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/QQQ/day.parquet,etfs,QQQ,4005,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/SLV/day.parquet,etfs,SLV,4930,1970-01-01,1970-01-01,1,1970-01-01 00:19:06.196800,1970-01-01 00:29:24.565200,True,0
etfs/SPSM/day.parquet,etfs,SPSM,2043,1970-01-01,1970-01-01,1,1970-01-01 00:25:08.126400,1970-01-01 00:29:24.565200,True,0
etfs/SPY/day.parquet,etfs,SPY,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/TLT/day.parquet,etfs,TLT,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/UNG/day.parquet,etfs,UNG,4687,1970-01-01,1970-01-01,1,1970-01-01 00:19:36.868800,1970-01-01 00:29:24.565200,True,0
etfs/USO/day.parquet,etfs,USO,4943,1970-01-01,1970-01-01,1,1970-01-01 00:19:04.641600,1970-01-01 00:29:24.565200,True,0
etfs/UUP/day.parquet,etfs,UUP,4726,1970-01-01,1970-01-01,1,1970-01-01 00:19:31.947600,1970-01-01 00:29:24.565200,True,0
etfs/UVXY/day.parquet,etfs,UVXY,3561,1970-01-01,1970-01-01,1,1970-01-01 00:21:57.700800,1970-01-01 00:29:24.565200,True,0
etfs/VB/day.parquet,etfs,VB,5495,1970-01-01,1970-01-01,1,1970-01-01 00:17:55.438800,1970-01-01 00:29:24.565200,True,0
etfs/VIXY/day.parquet,etfs,VIXY,3750,1970-01-01,1970-01-01,1,1970-01-01 00:21:34.117200,1970-01-01 00:29:24.565200,True,0
etfs/VXX/day.parquet,etfs,VXX,4172,1970-01-01,1970-01-01,1,1970-01-01 00:20:33.291600,1970-01-01 00:29:24.565200,True,0
etfs/XLB/day.parquet,etfs,XLB,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/XLC/day.parquet,etfs,XLC,1874,1970-01-01,1970-01-01,1,1970-01-01 00:25:29.380800,1970-01-01 00:29:24.565200,True,0
etfs/XLE/day.parquet,etfs,XLE,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/XLF/day.parquet,etfs,XLF,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/XLI/day.parquet,etfs,XLI,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/XLK/day.parquet,etfs,XLK,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/XLP/day.parquet,etfs,XLP,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/XLRE/day.parquet,etfs,XLRE,2545,1970-01-01,1970-01-01,1,1970-01-01 00:24:04.276800,1970-01-01 00:29:24.565200,True,0
etfs/XLU/day.parquet,etfs,XLU,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/XLV/day.parquet,etfs,XLV,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
etfs/XLY/day.parquet,etfs,XLY,5593,1970-01-01,1970-01-01,1,1970-01-01 00:17:43.166400,1970-01-01 00:29:24.565200,True,0
indices/I_COMP/day.parquet,indices,I_COMP,705,1970-01-01,1970-01-01,1,1970-01-01 00:27:56.440800,1970-01-01 00:29:24.568800,True,0
indices/I_NDX/day.parquet,indices,I_NDX,705,1970-01-01,1970-01-01,1,1970-01-01 00:27:56.440800,1970-01-01 00:29:24.568800,True,0
indices/I_SOX/day.parquet,indices,I_SOX,705,1970-01-01,1970-01-01,1,1970-01-01 00:27:56.440800,1970-01-01 00:29:24.568800,True,0
